
Calculate Statistics

check: 20 win lines
output every:10000000 steps
Statistics
Combinations for each win
Step:            10000000
	 Symbol		5 in a row     4 in a row   3 in a row   2 in a row
****************************************************************************************************
          Atkins             0(0.00000000)             0(0.00000000)             0(0.00000000)             0(0.00000000)             0(0.00000000) 
           Steak             0(0.00000000)             0(0.00000000)             0(0.00000000)             0(0.00000000)             0(0.00000000) 
             Ham          6400(0.00003200)         34560(0.00017280)        286720(0.00143360)       2293760(0.01146880)       2621440(0.01310720) 
    BuffaloWings           576(0.00000288)          4032(0.00002016)         44544(0.00022272)        344064(0.00172032)        393216(0.00196608) 
         Sausage         15300(0.00007650)         82620(0.00041310)        528768(0.00264384)             0(0.00000000)        626688(0.00313344) 
            Eggs          3840(0.00001920)         26880(0.00013440)        215040(0.00107520)             0(0.00000000)        245760(0.00122880) 
          Butter          7300(0.00003650)         39420(0.00019710)        327040(0.00163520)             0(0.00000000)        373760(0.00186880) 
          Cheese         10000(0.00005000)         70000(0.00035000)        432000(0.00216000)             0(0.00000000)        512000(0.00256000) 
           Bacon         12000(0.00006000)         84000(0.00042000)        416000(0.00208000)             0(0.00000000)        512000(0.00256000) 
      Mayonnaise         24000(0.00012000)        168000(0.00084000)       1036800(0.00518400)             0(0.00000000)       1228800(0.00614400) 
****************************************************************************************************
          Total:        79416(0.00039708)        509512(0.00254756)       3286912(0.01643456)       2637824(0.01318912)       6513664(0.03256832) 
Statistics
Combinations for each win
Step:            20000000
	 Symbol		5 in a row     4 in a row   3 in a row   2 in a row
****************************************************************************************************
          Atkins             6(0.00000001)           168(0.00000042)          3078(0.00000770)          6144(0.00001536)          9396(0.00002349) 
           Steak          3850(0.00000963)         26824(0.00006706)        292544(0.00073136)       3000832(0.00750208)       3324050(0.00831012) 
             Ham          8290(0.00002072)         44766(0.00011192)        367360(0.00091840)       2809856(0.00702464)       3230272(0.00807568) 
    BuffaloWings          9052(0.00002263)         63364(0.00015841)        696224(0.00174056)       5269760(0.01317440)       6038400(0.01509600) 
         Sausage         18420(0.00004605)         99468(0.00024867)        632448(0.00158112)             0(0.00000000)        750336(0.00187584) 
            Eggs         11304(0.00002826)         79128(0.00019782)        628992(0.00157248)             0(0.00000000)        719424(0.00179856) 
          Butter         21170(0.00005292)        113832(0.00028458)        944384(0.00236096)             0(0.00000000)       1079386(0.00269847) 
          Cheese         22976(0.00005744)        160160(0.00040040)        988416(0.00247104)             0(0.00000000)       1171552(0.00292888) 
           Bacon         27696(0.00006924)        193872(0.00048468)        960128(0.00240032)             0(0.00000000)       1181696(0.00295424) 
      Mayonnaise         39980(0.00009995)        279860(0.00069965)       1727136(0.00431784)             0(0.00000000)       2046976(0.00511744) 
****************************************************************************************************
          Total:       162744(0.00040686)       1061442(0.00265360)       7240710(0.01810178)      11086592(0.02771648)      19551488(0.04887872) 
Statistics
Combinations for each win
Step:            30000000
	 Symbol		5 in a row     4 in a row   3 in a row   2 in a row
****************************************************************************************************
          Atkins            20(0.00000003)           560(0.00000093)         10260(0.00001710)         20480(0.00003413)         31320(0.00005220) 
